,Player,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,
0,Emiliano Martínez,GK,29.0,7.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
1,Lionel Messi,FW,34.0,7.7,7,27,13,48.1,3.52,1.7,0.11,0.23,20.9,3.0,4,5,6.6,2.7,0.1,0.4,0.3,Matches,Argentina
2,Nicolás Otamendi,DF,34.0,7.7,0,1,0,0.0,0.13,0.0,0.0,,12.3,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Argentina
3,Rodrigo De Paul,MF,28.0,6.7,0,7,3,42.9,1.05,0.45,0.0,0.0,20.1,0.0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches,Argentina
4,Nahuel Molina,DF,24.0,6.3,1,2,1,50.0,0.32,0.16,0.5,1.0,16.2,0.0,0,0,0.5,0.5,0.23,0.5,0.5,Matches,Argentina
5,Alexis Mac Allister,MF,23.0,6.1,1,7,4,57.1,1.15,0.65,0.14,0.25,19.0,0.0,0,0,0.7,0.7,0.1,0.3,0.3,Matches,Argentina
6,Cristian Romero,DF,24.0,6.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
7,Enzo Fernández,MF,21.0,6.3,1,8,3,37.5,1.28,0.48,0.13,0.33,24.9,0.0,0,0,0.3,0.3,0.04,0.7,0.7,Matches,Argentina
8,Julián Álvarez,FW,22.0,5.2,4,11,8,72.7,2.13,1.55,0.36,0.5,12.2,0.0,0,0,2.6,2.6,0.24,1.4,1.4,Matches,Argentina
9,Marcos Acuña,"DF,FW",30.0,4.1,0,2,0,0.0,0.48,0.0,0.0,,17.9,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Argentina
10,Ángel Di María,"MF,FW",34.0,3.2,1,6,3,50.0,1.87,0.94,0.17,0.33,20.7,0.0,0,0,0.6,0.6,0.11,0.4,0.4,Matches,Argentina
11,Nicolás Tagliafico,DF,29.0,4.1,0,3,1,33.3,0.72,0.24,0.0,0.0,11.3,0.0,0,0,1.0,1.0,0.34,-1.0,-1.0,Matches,Argentina
12,Lisandro Martínez,DF,24.0,3.4,0,1,0,0.0,0.3,0.0,0.0,,10.1,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,Argentina
13,Lautaro Martínez,FW,24.0,2.7,0,14,4,28.6,5.23,1.49,0.0,0.0,12.6,0.0,0,0,1.9,1.9,0.13,-1.9,-1.9,Matches,Argentina
14,Leandro Paredes,MF,27.0,2.5,0,1,1,100.0,0.4,0.4,0.0,0.0,30.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Argentina
15,Papu Gómez,"MF,FW",34.0,1.2,0,2,0,0.0,1.68,0.0,0.0,,26.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Argentina
16,Gonzalo Montiel,"DF,MF",25.0,1.3,0,1,0,0.0,0.76,0.0,0.0,,27.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Argentina
17,Guido Rodríguez,MF,28.0,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
18,Germán Pezzella,DF,30.0,0.7,0,1,0,0.0,1.5,0.0,0.0,,10.0,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Argentina
19,Exequiel Palacios,"MF,DF",23.0,0.6,0,1,0,0.0,1.8,0.0,0.0,,16.3,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Argentina
20,Paulo Dybala,FW,28.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
21,Thiago Almada,MF,21.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
22,Ángel Correa,MF,27.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
23,Juan Foyth,DF,24.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
24,Squad Total,,27.5,7.7,15,95,41,43.2,12.39,5.35,0.12,0.27,18.2,3.0,4,5,15.1,11.3,0.12,-0.1,-0.3,,Argentina
25,Opponent Total,,27.5,7.7,7,42,11,26.2,5.48,1.43,0.12,0.45,19.9,3.0,2,2,4.6,3.1,0.07,2.4,1.9,,Argentina
0,Aurélien Tchouaméni,MF,22.0,6.9,1,6,2,33.3,0.87,0.29,0.17,0.5,23.7,0.0,0,0,0.3,0.3,0.06,0.7,0.7,Matches,France
1,Kylian Mbappé,FW,23.0,6.6,8,29,11,37.9,4.36,1.66,0.21,0.55,17.1,1.0,2,2,5.2,3.6,0.13,2.8,2.4,Matches,France
2,Hugo Lloris,GK,35.0,6.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,France
3,Antoine Griezmann,MF,31.0,6.0,0,6,2,33.3,1.01,0.34,0.0,0.0,17.6,1.0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,France
4,Raphaël Varane,DF,29.0,5.8,0,3,0,0.0,0.52,0.0,0.0,,7.2,0.0,0,0,0.3,0.3,0.12,-0.3,-0.3,Matches,France
5,Ousmane Dembélé,FW,25.0,4.8,0,8,2,25.0,1.66,0.42,0.0,0.0,20.2,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,France
6,Olivier Giroud,FW,35.0,4.7,4,16,6,37.5,3.44,1.29,0.25,0.67,11.0,0.0,0,0,3.4,3.4,0.21,0.6,0.6,Matches,France
7,Theo Hernández,DF,24.0,5.6,1,5,2,40.0,0.89,0.35,0.2,0.5,16.7,0.0,0,0,0.4,0.4,0.08,0.6,0.6,Matches,France
8,Adrien Rabiot,MF,27.0,5.4,1,9,4,44.4,1.68,0.75,0.11,0.25,13.4,0.0,0,0,1.0,1.0,0.12,0.0,0.0,Matches,France
9,Jules Koundé,DF,23.0,5.3,0,4,1,25.0,0.75,0.19,0.0,0.0,19.9,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,France
10,Dayot Upamecano,DF,23.0,5.3,0,1,0,0.0,0.19,0.0,0.0,,9.7,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,France
11,Ibrahima Konaté,DF,23.0,3.3,0,2,1,50.0,0.61,0.31,0.0,0.0,7.7,0.0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches,France
12,Youssouf Fofana,MF,23.0,2.5,0,4,0,0.0,1.59,0.0,0.0,,21.1,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,France
13,Randal Kolo Muani,FW,23.0,2.0,1,4,2,50.0,1.98,0.99,0.25,0.5,13.2,0.0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches,France
14,Kingsley Coman,"FW,MF",26.0,1.9,0,1,0,0.0,0.53,0.0,0.0,,10.7,0.0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,France
15,Eduardo Camavinga,DF,19.0,1.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,France
16,Axel Disasi,DF,24.0,1.0,0,1,0,0.0,0.98,0.0,0.0,,9.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,France
17,Steve Mandanda,GK,37.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,France
18,Benjamin Pavard,DF,26.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,France
19,Mattéo Guendouzi,"FW,MF",23.0,0.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,France
20,Jordan Veretout,MF,29.0,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,France
21,Lucas Hernández,DF,26.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,France
22,Marcus Thuram,"FW,MF",24.0,1.7,0,1,0,0.0,0.6,0.0,0.0,,5.4,0.0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches,France
23,William Saliba,DF,21.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,France
24,Squad Total,,26.3,7.3,16,100,33,33.0,13.64,4.5,0.14,0.42,15.8,2.0,2,2,13.8,12.2,0.13,2.2,1.8,,France
25,Opponent Total,,26.8,7.3,8,76,24,31.6,10.36,3.27,0.07,0.21,19.3,3.0,3,4,9.9,6.8,0.09,-1.9,-1.8,,France
0,Joško Gvardiol,DF,20.0,7.7,1,2,1,50.0,0.26,0.13,0.5,1.0,16.8,0.0,0,0,0.1,0.1,0.07,0.9,0.9,Matches,Croatia
1,Dominik Livaković,GK,27.0,7.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Croatia
2,Ivan Perišić,"FW,DF",33.0,7.4,1,16,4,25.0,2.15,0.54,0.06,0.25,20.0,1.0,0,0,0.9,0.9,0.06,0.1,0.1,Matches,Croatia
3,Luka Modrić,MF,36.0,7.3,0,6,4,66.7,0.83,0.55,0.0,0.0,21.1,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,Croatia
4,Mateo Kovačić,MF,28.0,7.1,0,3,1,33.3,0.43,0.14,0.0,0.0,17.0,0.0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,Croatia
5,Andrej Kramarić,"FW,MF",30.0,5.3,2,10,4,40.0,1.9,0.76,0.2,0.5,15.1,0.0,0,0,1.6,1.6,0.16,0.4,0.4,Matches,Croatia
6,Josip Juranović,DF,26.0,6.7,0,1,0,0.0,0.15,0.0,0.0,,18.1,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Croatia
7,Dejan Lovren,DF,32.0,6.7,0,4,0,0.0,0.6,0.0,0.0,,14.8,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,Croatia
8,Marcelo Brozović,MF,29.0,6.1,0,4,2,50.0,0.65,0.33,0.0,0.0,17.4,0.0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,Croatia
9,Borna Sosa,DF,24.0,4.7,0,2,0,0.0,0.42,0.0,0.0,,28.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Croatia
10,Marko Livaja,FW,28.0,2.7,1,6,4,66.7,2.24,1.49,0.17,0.25,15.1,0.0,0,0,0.8,0.8,0.13,0.2,0.2,Matches,Croatia
11,Mario Pašalić,"FW,MF",27.0,3.0,0,3,0,0.0,1.0,0.0,0.0,,7.8,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,Croatia
12,Bruno Petković,FW,27.0,2.6,1,1,1,100.0,0.38,0.38,1.0,1.0,16.2,0.0,0,0,0.1,0.1,0.12,0.9,0.9,Matches,Croatia
13,Nikola Vlašić,"FW,MF",24.0,2.3,0,5,1,20.0,2.15,0.43,0.0,0.0,17.2,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,Croatia
14,Mislav Oršić,FW,29.0,1.8,1,9,2,22.2,5.0,1.11,0.11,0.5,22.5,0.0,0,0,0.4,0.4,0.04,0.6,0.6,Matches,Croatia
15,Lovro Majer,"MF,FW",24.0,1.4,1,4,2,50.0,2.77,1.38,0.25,0.5,23.2,0.0,0,0,0.7,0.7,0.18,0.3,0.3,Matches,Croatia
16,Borna Barišić,DF,29.0,1.3,0,1,0,0.0,0.75,0.0,0.0,,24.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Croatia
17,Josip Stanišić,DF,22.0,1.0,0,1,0,0.0,1.0,0.0,0.0,,28.6,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Croatia
18,Josip Šutalo,DF,22.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Croatia
19,Ante Budimir,FW,30.0,0.6,0,1,0,0.0,1.64,0.0,0.0,,10.8,0.0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,Croatia
20,Kristijan Jakić,FW,25.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Croatia
21,Squad Total,,28.3,7.7,8,79,26,32.9,10.3,3.39,0.1,0.31,18.5,1.0,0,0,7.0,7.0,0.09,1.0,1.0,,Croatia
22,Opponent Total,,27.5,7.7,7,83,30,36.1,10.83,3.91,0.07,0.2,17.2,4.0,1,1,11.0,10.3,0.13,-4.0,-4.3,,Croatia
0,Sofyan Amrabat,MF,25.0,7.3,0,1,0,0.0,0.14,0.0,0.0,,28.8,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Morocco
1,Hakim Ziyech,FW,29.0,7.1,1,10,2,20.0,1.42,0.28,0.1,0.5,27.2,1.0,0,0,0.4,0.4,0.04,0.6,0.6,Matches,Morocco
2,Achraf Hakimi,DF,23.0,7.0,0,4,1,25.0,0.57,0.14,0.0,0.0,26.5,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Morocco
3,Youssef En-Nesyri,FW,25.0,6.0,2,9,3,33.3,1.49,0.5,0.22,0.67,9.1,0.0,0,0,1.2,1.2,0.14,0.8,0.8,Matches,Morocco
4,Sofiane Boufal,FW,28.0,5.3,0,7,1,14.3,1.33,0.19,0.0,0.0,21.0,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Morocco
5,Yassine Bounou,GK,31.0,6.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Morocco
6,Azzedine Ounahi,MF,22.0,6.3,0,6,1,16.7,0.95,0.16,0.0,0.0,23.7,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Morocco
7,Romain Saïss,DF,32.0,5.2,1,1,1,100.0,0.19,0.19,1.0,1.0,0.9,0.0,0,0,0.8,0.8,0.79,0.2,0.2,Matches,Morocco
8,Noussair Mazraoui,DF,24.0,4.1,0,4,2,50.0,0.99,0.49,0.0,0.0,24.4,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Morocco
9,Selim Amallah,MF,25.0,4.5,0,2,0,0.0,0.44,0.0,0.0,,13.3,0.0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,Morocco
10,Nayef Aguerd,DF,26.0,3.9,0,1,0,0.0,0.25,0.0,0.0,,8.0,0.0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,Morocco
11,Jawad El Yamiq,DF,30.0,3.4,0,2,1,50.0,0.58,0.29,0.0,0.0,12.4,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Morocco
12,Yahya Attiat Allah,DF,27.0,3.5,0,2,0,0.0,0.57,0.0,0.0,,13.0,0.0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,Morocco
13,Achraf Dari,DF,23.0,2.1,1,1,1,100.0,0.48,0.48,1.0,1.0,4.1,0.0,0,0,0.6,0.6,0.63,0.4,0.4,Matches,Morocco
14,Abdelhamid Sabiri,MF,25.0,2.0,0,3,0,0.0,1.49,0.0,0.0,,34.2,1.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Morocco
15,Munir,GK,33.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Morocco
16,Bilal El Khannous,MF,18.0,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Morocco
17,Abdessamad Ezzalzouli,"FW,MF",20.0,1.0,0,1,0,0.0,0.97,0.0,0.0,,13.7,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Morocco
18,Zakaria Aboukhlal,"FW,MF",22.0,0.9,1,3,2,66.7,3.42,2.28,0.33,0.5,14.9,0.0,0,0,1.0,1.0,0.33,0.0,0.0,Matches,Morocco
19,Abderrazak Hamdallah,FW,31.0,0.8,0,2,1,50.0,2.65,1.32,0.0,0.0,7.8,0.0,0,0,0.4,0.4,0.2,-0.4,-0.4,Matches,Morocco
20,Walid Cheddira,FW,24.0,0.7,0,2,1,50.0,2.81,1.41,0.0,0.0,9.8,0.0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches,Morocco
21,Badr Banoun,DF,28.0,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Morocco
22,Ilias Chair,MF,24.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Morocco
23,Anass Zaroury,FW,21.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Morocco
24,Yahya Jabrane,MF,30.0,0.2,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches,Morocco
25,Squad Total,,26.3,7.3,6,61,17,27.9,8.32,2.32,0.1,0.35,19.1,3.0,0,0,6.6,6.6,0.11,-0.6,-0.6,,Morocco
26,Opponent Total,,27.2,7.3,4,71,14,19.7,9.68,1.91,0.06,0.29,16.7,1.0,0,0,7.4,7.4,0.11,-3.4,-3.4,,Morocco
0,Andries Noppert,GK,28.0,5.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Netherlands
1,Virgil van Dijk,DF,30.0,5.3,0,3,0,0.0,0.56,0.0,0.0,,10.6,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,Netherlands
2,Nathan Aké,DF,27.0,5.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Netherlands
3,Denzel Dumfries,DF,26.0,5.3,1,1,1,100.0,0.19,0.19,1.0,1.0,8.7,0.0,0,0,0.4,0.4,0.38,0.6,0.6,Matches,Netherlands
4,Frenkie de Jong,MF,25.0,5.3,1,2,1,50.0,0.38,0.19,0.5,1.0,14.2,0.0,0,0,0.9,0.9,0.44,0.1,0.1,Matches,Netherlands
5,Cody Gakpo,"FW,MF",23.0,5.0,3,5,3,60.0,1.0,0.6,0.6,1.0,19.9,0.0,0,0,0.3,0.3,0.06,2.7,2.7,Matches,Netherlands
6,Daley Blind,DF,32.0,4.7,1,5,2,40.0,1.06,0.43,0.2,0.5,12.3,0.0,0,0,0.4,0.4,0.08,0.6,0.6,Matches,Netherlands
7,Jurriën Timber,DF,20.0,4.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Netherlands
8,Memphis,FW,28.0,3.3,1,10,5,50.0,3.03,1.52,0.1,0.2,15.0,0.0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches,Netherlands
9,Steven Bergwijn,FW,24.0,2.4,0,2,0,0.0,0.85,0.0,0.0,,15.5,0.0,0,0,0.5,0.5,0.25,-0.5,-0.5,Matches,Netherlands
10,Davy Klaassen,"MF,FW",29.0,2.1,1,2,1,50.0,0.95,0.47,0.5,1.0,9.9,0.0,0,0,0.2,0.2,0.12,0.8,0.8,Matches,Netherlands
11,Marten de Roon,MF,31.0,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Netherlands
12,Teun Koopmeiners,MF,24.0,2.4,0,2,1,50.0,0.82,0.41,0.0,0.0,27.6,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Netherlands
13,Steven Berghuis,MF,30.0,2.2,0,5,0,0.0,2.25,0.0,0.0,,22.5,1.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Netherlands
14,Matthijs de Ligt,DF,22.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Netherlands
15,Vincent Janssen,FW,27.0,1.0,0,2,0,0.0,2.09,0.0,0.0,,21.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Netherlands
16,Wout Weghorst,FW,29.0,0.7,2,2,2,100.0,2.81,2.81,1.0,1.0,12.0,0.0,0,0,0.2,0.2,0.1,1.8,1.8,Matches,Netherlands
17,Luuk de Jong,FW,31.0,0.6,0,1,0,0.0,1.58,0.0,0.0,,13.0,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,Netherlands
18,Xavi Simons,"FW,MF",19.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Netherlands
19,Noa Lang,MF,22.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Netherlands
20,Kenneth Taylor,MF,20.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Netherlands
21,Squad Total,,26.8,5.3,10,42,16,38.1,7.88,3.0,0.24,0.63,16.1,1.0,0,0,4.6,4.6,0.12,5.4,5.4,,Netherlands
22,Opponent Total,,26.4,5.3,4,65,21,32.3,12.19,3.94,0.05,0.14,19.4,1.0,1,1,6.1,5.3,0.08,-2.1,-2.3,,Netherlands
0,Jordan Pickford,GK,28.0,5.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,England
1,John Stones,DF,28.0,4.8,0,4,1,25.0,0.83,0.21,0.0,0.0,9.6,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,England
2,Harry Maguire,DF,29.0,4.8,0,6,1,16.7,1.26,0.21,0.0,0.0,10.0,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,England
3,Luke Shaw,DF,26.0,4.7,0,3,1,33.3,0.64,0.21,0.0,0.0,23.1,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,England
4,Declan Rice,MF,23.0,4.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,England
5,Jude Bellingham,MF,18.0,4.6,1,5,3,60.0,1.09,0.65,0.2,0.33,12.4,0.0,0,0,0.6,0.6,0.11,0.4,0.4,Matches,England
6,Harry Kane,FW,28.0,4.5,2,10,5,50.0,2.24,1.12,0.1,0.2,20.4,0.0,1,2,2.7,1.1,0.11,-0.7,-0.1,Matches,England
7,Bukayo Saka,FW,20.0,3.2,3,7,5,71.4,2.19,1.56,0.43,0.6,14.9,0.0,0,0,0.6,0.6,0.09,2.4,2.4,Matches,England
8,Jordan Henderson,MF,31.0,3.0,1,2,1,50.0,0.66,0.33,0.5,1.0,18.5,0.0,0,0,0.2,0.2,0.08,0.8,0.8,Matches,England
9,Phil Foden,"FW,MF",22.0,2.9,1,6,1,16.7,2.09,0.35,0.17,1.0,13.8,0.0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches,England
10,Kyle Walker,DF,32.0,2.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,England
11,Kieran Trippier,DF,31.0,2.3,0,1,0,0.0,0.44,0.0,0.0,,27.2,1.0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,England
12,Mason Mount,MF,23.0,2.1,0,4,1,25.0,1.94,0.48,0.0,0.0,23.0,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,England
13,Raheem Sterling,FW,27.0,1.7,1,1,1,100.0,0.6,0.6,1.0,1.0,9.3,0.0,0,0,0.4,0.4,0.37,0.6,0.6,Matches,England
14,Marcus Rashford,FW,24.0,1.6,3,11,6,54.5,7.07,3.86,0.27,0.5,16.6,2.0,0,0,1.6,1.6,0.15,1.4,1.4,Matches,England
15,Jack Grealish,FW,26.0,1.0,1,1,1,100.0,1.05,1.05,1.0,1.0,8.8,0.0,0,0,0.6,0.6,0.65,0.4,0.4,Matches,England
16,Callum Wilson,FW,30.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,England
17,Kalvin Phillips,MF,26.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,England
